	VC10-Ctrl_S1.bam	VC11-Ctrl_S3.bam	VC35B-Ctrl_S5.bam	VC35C-Ctrl_S7.bam	VC10-VC_S2.bam	VC11-VC_S4.bam	VC35B-VC_S6.bam	VC35C-VC_S8.bam
Psg28	0	0	0	0	0	0	0	0
Psg26	0	0	0	0	0	0	0	0
Psg25	0	0	0	0	0	0	0	0
Psg27	0	0	0	0	0	0	0	0
Psg23	0	0	0	0	0	0	0	0
Psg21	0	0	0	0	0	0	0	0
Psg20	0	0	0	0	0	0	0	0
Psg22	0	0	0	0	0	0	0	0
Psg19	0	0	0	0	0	0	0	0
Psg17	0	0	0	0	0	0	0	0
Mill2	1	0	0	0	0	0	1	0
Pglyrp1	221	147	109	140	180	183	40	62
Ccdc61	167	141	112	235	142	175	114	150
Nova2	172	138	117	165	117	178	87	116
Nanos2	0	0	0	0	0	0	0	0
Gm10676	0	7	2	6	6	3	4	1
Mypop	13	11	9	19	14	16	7	14
Gm16266	2	2	0	6	0	2	2	2
Irf2bp1	277	237	215	342	275	283	200	224
Foxa3	8	3	3	15	3	1	6	11
Sympk	885	776	603	937	760	778	426	593
Rsph6a	2	1	0	0	0	2	0	0
Dmwd	402	341	322	445	386	398	260	337
Dmpk	53	48	37	35	34	66	20	21
Six5	23	19	15	22	15	18	18	8
Gm4969	0	0	0	1	2	2	1	1
Fbxo46	138	110	86	153	132	139	79	111
Qpctl	48	36	50	65	45	34	41	45
Snrpd2	658	529	605	1081	516	599	443	660
Gipr	1	1	0	4	2	1	0	0
Eml2	189	186	152	190	195	200	113	141
Gpr4	30	22	38	49	16	23	25	31
Opa3	276	220	195	321	233	269	124	209
Vasp	1144	953	1052	1711	938	1087	904	1310
1700058P15Rik	0	0	0	0	0	0	0	0
Ppm1n	3	3	0	5	3	0	0	5
Rtn2	67	72	92	138	52	60	53	70
Fosb	5	2	5	5	3	3	0	1
Ercc1	137	97	113	164	109	148	83	127
Cd3eap	191	163	109	178	184	201	90	112
Ppp1r13l	100	85	56	111	80	88	39	50
Ercc2	248	266	219	278	249	293	185	228
Klc3	30	28	27	41	20	29	12	17
Ckm	0	0	0	1	1	0	0	0
A930016O22Rik	0	0	0	1	1	0	1	0
Mark4	293	252	192	262	223	265	136	209
Exoc3l2	31	36	19	22	21	23	12	11
Bloc1s3	44	39	38	85	40	45	38	40
Trappc6a	50	32	36	64	49	36	20	38
Nkpd1	0	0	0	0	0	0	0	0
Ppp1r37	223	185	153	232	192	199	149	192
Gemin7	229	187	172	246	174	167	123	177
Zfp296	465	356	317	530	352	427	242	371
Clasrp	155	152	114	181	133	183	104	115
Relb	318	265	191	246	251	301	144	188
Clptm1	910	773	742	1027	951	950	577	739
Apoc2	0	0	0	0	0	0	0	0
Apoc4	0	0	0	0	0	0	0	0
Apoc1	94	74	89	132	64	82	52	81
Apoe	3506	2404	1971	3927	3042	2868	1630	2379
Tomm40	1626	1502	1663	2360	1394	1587	1224	1641
Gm20512	1	0	1	0	1	0	0	0
Pvrl2	679	461	466	642	602	609	352	468
Bcam	471	321	338	544	390	294	192	281
Cblc	38	34	23	45	38	35	16	18
Bcl3	210	196	210	334	171	212	201	252
Gm16175	0	0	0	0	0	0	0	0
Gm16174	0	0	0	2	2	2	0	2
Gm19345	0	0	0	0	1	0	0	0
Ceacam16	0	0	0	1	0	0	0	0
Ceacam19	0	0	0	0	2	1	0	0
Pvr	159	150	97	147	141	149	43	102
Gm16251	0	0	0	1	0	0	0	0
2210010C17Rik	111	90	62	103	120	103	43	47
Rpl7a-ps8	17	18	13	25	17	20	13	18
Ceacam20	5	7	1	4	17	17	3	5
Nlrp9b	48	41	51	70	104	83	44	85
Vmn1r91	0	0	0	0	0	0	0	0
Gm16442	0	0	0	0	0	0	0	0
Vmn1r93	0	0	0	0	0	0	0	0
Vmn1r94	0	0	0	0	0	0	0	0
Vmn1r95	0	0	0	0	0	0	0	0
Gm6164	0	0	0	0	0	0	0	0
Gm4498	0	0	0	0	0	0	0	0
Gm4133	0	0	0	0	0	0	0	0
Gm5728	0	0	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0
Gm5726	0	0	0	0	0	0	0	0
Gm4141	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0	0	0
Gm6902	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0	0	0
Vmn1r125	0	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0	0	0
Gm6882	0	0	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0	0	0
Gm4172	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0
Gm4175	0	0	0	0	0	0	0	0
Gm4177	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0
Gm5725	0	0	0	0	0	0	0	0
Gm5891	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0
Gm4179	0	0	0	0	0	0	0	0
Gm6176	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0
RP23-331M13.5	0	0	0	0	0	0	0	0
Gm10666	0	0	0	0	0	0	0	0
Vmn1r142	0	0	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0	0	0
Gm8653	0	0	0	0	0	0	0	0
Gm8453	0	0	0	0	0	0	0	0
Gm4187	0	0	0	0	0	0	0	0
Gm8660	0	0	0	0	0	0	0	0
Vmn1r148	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0
Gm10665	0	0	0	0	0	0	0	0
Vmn1r151	0	0	0	0	0	0	0	0
Vmn1r152	0	0	0	0	0	0	0	0
Gm8677	0	0	0	0	0	0	0	0
Gm4201	0	0	0	0	0	0	0	0
Vmn1r155	0	0	0	0	0	0	0	0
Gm8693	0	0	0	0	0	0	0	0
Gm10668	0	0	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	0	0	0
Vmn1r159	0	0	0	0	0	0	0	0
Vmn1r160	0	0	0	0	0	0	0	0
Gm4214	0	0	0	0	0	0	0	0
Gm4216	0	0	0	0	0	0	0	0
Vmn1r163	0	0	0	0	0	0	0	0
Gm8720	0	0	0	0	0	0	0	0
Gm10662	0	0	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0	0	0
Gm4220	0	0	0	0	0	0	0	0
Gm4567	0	0	0	0	0	0	0	0
Nlrp4e	0	1	0	0	4	1	0	0
Nlrp5	0	1	0	2	1	1	0	0
Vmn1r167	0	0	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0
Vmn1r169	0	0	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0	0	0
Vmn1r171	0	0	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0	0	0
Vmn1r174	0	0	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0	0	0
Vmn1r177	0	0	0	0	0	0	0	0
Vmn1r178	0	0	0	0	0	0	0	0
Vmn1r179	0	0	0	0	0	0	0	0
Gm10175	767	588	645	997	669	654	455	653
Vmn1r180	0	0	0	0	0	0	0	0
Vmn1r181	0	0	0	0	0	0	0	0
V1rd19	0	0	0	0	0	0	0	0
Vmn1r183	0	0	0	0	0	0	0	0
AC121271.1	0	0	0	0	0	0	0	0
Zfp180	286	203	166	272	211	248	144	181
Zfp112	5	3	2	2	7	8	0	2
Zfp235	52	42	29	52	37	46	23	34
Zfp114	11	5	7	16	7	19	6	5
Zfp111	231	191	133	210	207	217	112	156
Zfp109	39	35	29	41	31	41	22	24
Zfp108	12	11	9	16	8	20	6	10
Zfp93	29	32	17	39	32	36	25	18
Zfp61	76	50	60	74	45	77	38	69
Zfp94	10	5	9	20	6	17	8	10
1700008P20Rik	2	0	0	0	0	0	0	0
Lypd5	0	0	0	0	0	0	0	0
Kcnn4	2	4	2	0	1	1	0	0
1500002O20Rik	103	102	86	147	102	125	81	84
Irgc1	0	0	0	0	1	0	0	0
Plaur	43	18	53	65	23	18	42	39
Cadm4	130	69	72	127	101	95	60	91
Zfp428	673	537	503	808	522	603	400	504
Irgq	209	181	97	122	167	167	80	74
2310033E01Rik	2	0	0	1	0	0	0	0
Xrcc1	518	454	324	441	386	476	253	310
Zfp575	1	0	0	2	0	0	1	3
Ethe1	33	17	27	42	23	18	18	32
Phldb3	9	5	7	13	14	20	4	5
Lypd3	0	0	0	0	1	0	0	0
Tex101	0	0	0	1	5	2	0	0
BC049730	0	0	0	0	0	0	0	0
Gm4763	0	0	0	0	0	0	0	0
Cd177	0	0	0	0	2	0	0	0
Ceacam10	5	1	2	3	22	19	4	4
Gm5893	0	0	0	0	0	0	0	0
Gm9844	966	556	402	916	574	724	265	530
Gm3788	966	556	402	916	574	724	265	530
Lypd4	0	0	0	1	0	0	0	0
Dmrtc2	4	5	6	6	6	3	3	9
Rps19	857	741	668	984	786	881	505	683
Cd79a	0	0	0	0	0	0	0	0
Arhgef1	665	508	495	698	521	584	385	460
Rabac1	335	268	280	502	297	281	217	330
Atp1a3	42	27	46	63	21	42	21	33
Grik5	10	15	8	16	14	9	7	9
Zfp574	429	376	306	483	420	439	294	319
Pou2f2	0	1	0	0	0	0	1	0
D930028M14Rik	0	0	0	0	0	0	0	0
Dedd2	121	97	90	126	117	113	88	125
Zfp526	105	96	40	75	109	116	52	62
Gsk3a	506	427	326	501	452	466	224	349
9130221H12Rik	30	30	25	28	32	39	13	14
Erf	734	507	464	870	614	599	359	611
Cic	1335	1063	813	1146	1106	1352	664	978
Pafah1b3	227	181	188	248	214	189	133	189
Prr19	31	40	21	20	39	22	11	26
Tmem145	14	22	5	10	9	6	3	1
Megf8	421	395	279	461	385	431	261	280
Cnfn	0	0	0	0	0	0	0	0
Lipe	47	41	36	46	40	44	26	49
4732471J01Rik	0	0	0	0	0	0	0	0
Cxcl17	6	3	0	0	2	0	0	1
Ceacam1	30	32	24	42	13	28	13	16
Ceacam2	8	9	6	12	1	6	7	8
Gm7092	0	0	0	0	0	0	0	0
Atp5sl	151	141	115	189	142	146	128	129
B3gnt8	4	1	3	0	4	3	1	2
Bckdha	243	241	197	350	238	280	193	243
Exosc5	365	340	380	529	306	348	291	427
Tmem91	1	0	0	0	0	0	0	0
B9d2	35	19	23	54	24	25	18	36
Tgfb1	71	69	97	149	43	53	45	57
Ccdc97	276	229	161	259	246	304	105	175
Hnrnpul1	2014	1591	1195	1981	1632	1776	968	1307
Axl	34	46	33	37	46	46	22	39
Cyp2s1	86	64	122	153	71	96	72	112
Gm4613	684	498	491	857	563	608	343	591
Gm6434	0	0	0	2	0	0	0	0
Cyp2b10	0	0	0	0	1	1	0	0
Cyp2b13	0	0	0	0	0	1	0	0
Cyp2b9	0	0	0	0	0	0	0	0
Vmn1r184	0	0	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0	0	0
Nlrp9c	1	0	1	0	0	4	0	0
Nlrp4a	73	85	83	93	112	102	48	80
Nlrp9a	0	0	0	0	0	1	1	0
Vmn1r185	0	0	0	0	0	0	0	0
Cyp2b23	14	22	7	11	93	144	66	94
Cyp2b19	0	0	0	0	1	0	0	0
Cyp2g1	0	0	0	0	0	0	0	0
Cyp2a5	1	0	0	0	0	0	0	0
Cyp2a22	0	0	0	0	0	1	0	0
Cyp2a12	0	0	0	0	0	1	0	0
Cyp2f2	0	0	0	0	0	0	0	0
Gm15883	2	0	0	0	0	0	0	0
Cyp2t4	0	0	0	0	0	0	0	0
Egln2	477	384	352	532	414	472	275	371
Rab4b	167	154	179	247	138	142	114	170
RP24-68L4.1	169	163	227	362	145	159	149	219
Mia1	39	40	83	174	29	38	60	80
Snrpa	566	395	334	595	429	486	287	371
BC024978	117	106	93	133	124	151	75	106
Itpkc	189	152	136	208	139	153	126	154
Adck4	71	65	61	89	65	76	41	70
Gm15567	0	1	0	0	0	0	0	0
Numbl	190	159	133	202	169	217	111	154
Ltbp4	801	774	847	1064	723	727	650	749
Shkbp1	264	196	253	367	258	240	207	299
Gm20479	66	38	48	78	52	56	42	71
Spnb4	165	135	102	141	152	162	72	98
Blvrb	132	98	124	217	111	114	104	157
Sertad3	73	67	68	134	82	70	53	91
Sertad1	80	58	54	90	60	48	46	57
Prx	331	253	205	349	214	287	148	231
Gm15541	1	1	2	2	7	3	1	3
Hipk4	9	8	3	6	0	14	4	4
Pld3	220	173	151	211	199	213	109	168
2310022A10Rik	422	335	250	458	387	365	237	280
Akt2	569	472	378	520	550	576	282	374
Ttc9b	5	4	4	2	7	6	2	4
Map3k10	118	92	121	161	103	121	72	131
C030039L03Rik	313	313	216	352	279	306	168	245
Zfp60	280	252	206	394	222	241	150	227
Zfp626	53	44	57	75	32	48	30	45
Zfp59	277	263	233	337	260	292	161	240
Zfp607	97	86	80	123	82	72	60	81
1700049G17Rik	44	44	39	63	48	51	22	47
Zfp780b	111	98	82	130	102	89	51	89
Zfp850	18	14	9	17	15	22	11	11
AC158220.1	247	167	191	317	198	178	117	190
Psmc4	1176	986	1012	1569	933	1134	696	1065
Fcgbp	7	10	1	2	3	4	1	1
Gm10935	0	0	0	0	0	0	0	0
9530053A07Rik	50	33	14	17	35	30	4	9
Fbl	547	427	376	658	406	487	313	421
Dyrk1b	102	77	32	36	120	135	40	43
Eid2	218	186	146	234	214	199	131	131
Eid2b	26	27	24	39	30	27	19	23
BC089491	7	5	2	4	8	7	2	2
Dll3	21	12	7	12	8	6	3	0
Timm50	491	414	474	708	489	462	391	541
Supt5h	1450	1224	951	1412	1229	1384	789	996
Rps16	1614	1262	1092	1774	1352	1417	799	1239
Plekhg2	168	137	121	161	135	145	90	113
Zfp36	50	25	19	44	34	34	19	27
Med29	66	56	60	101	57	64	41	66
Paf1	282	244	192	292	254	297	146	222
Samd4b	890	832	635	890	790	895	495	671
Gmfg	8	4	4	13	4	3	1	9
Lrfn1	125	98	82	146	124	114	71	129
Il28a	0	0	0	0	0	0	0	0
Il28b	0	0	0	0	0	0	0	0
Sycn	0	0	0	0	0	0	0	0
Nccrp1	0	0	5	1	0	3	0	0
Pak4	703	597	508	804	613	731	436	616
C330005M16Rik	34	32	28	47	26	41	27	21
Fbxo27	34	37	40	56	26	31	32	36
Fbxo17	23	32	33	57	13	17	13	28
Mrps12	123	124	139	240	97	130	97	142
Sars2	227	197	215	273	207	237	152	202
AC171210.1	0	0	0	0	0	0	0	0
Nfkbib	184	155	138	268	155	158	116	169
Sirt2	129	125	72	129	121	132	64	95
Rinl	133	128	138	246	123	134	97	138
Hnrnpl	4153	3329	3304	4917	3505	3704	2581	3625
Ech1	220	164	141	294	190	158	118	166
Lgals4	2	2	1	4	3	1	0	3
Lgals7	4	3	5	0	5	0	1	1
Capn12	0	0	2	0	1	1	0	0
Actn4	2296	1853	1537	2431	1932	2072	1193	1727
Eif3k	1565	1194	1225	1894	1263	1235	833	1297
Map4k1	194	184	131	182	143	140	70	91
Ryr1	64	45	37	65	46	51	27	44
Rasgrp4	25	19	18	18	23	27	13	15
Gm16282	0	0	0	0	0	0	0	0
Fam98c	69	59	83	108	55	58	60	61
Spred3	27	23	25	30	34	28	27	22
Ggn	0	0	0	0	0	0	0	0
Psmd8	834	727	672	1140	640	765	502	726
Catsperg1	0	0	0	0	2	5	0	0
Kcnk6	21	10	8	16	9	11	6	6
Yif1b	278	235	299	427	220	274	215	274
2200002D01Rik	4	1	0	1	1	1	0	1
Spint2	610	541	577	799	492	470	340	469
Ppp1r14a	9	13	13	14	9	10	7	4
Dpf1	81	64	85	135	58	79	54	72
Sipa1l3	463	431	259	378	449	512	278	317
4932431P20Rik	0	0	0	0	0	1	0	0
4930432E11Rik	0	0	0	0	0	0	0	0
6330444E15Rik	0	0	0	0	0	0	0	0
Catsperg2	0	0	0	0	1	0	0	0
Zfp84	270	190	155	226	187	224	118	178
Zfp30	38	28	13	44	39	32	15	21
Zfp790	108	69	57	92	84	110	49	71
Zfp940	75	65	64	125	69	78	39	51
Zfp420	30	25	26	34	28	33	14	22
Zfp27	103	79	67	104	68	102	39	59
Zfp74	262	224	141	249	187	228	103	148
C230062I16Rik	0	0	0	0	0	0	0	0
Zfp568	2072	1637	1329	2043	2110	2031	1062	1493
Zfp14	9	6	10	12	7	7	5	13
Zfp82	36	27	35	60	22	40	21	35
Zfp566	83	80	74	118	83	79	39	67
Zfp260	308	288	206	356	259	239	149	175
Zfp382	50	41	22	35	24	35	16	31
Zfp146	210	161	174	278	184	177	111	166
Gm5113	27	15	8	25	21	12	10	22
Cox7a1	29	30	23	39	43	44	16	37
Capns1	1531	1151	864	1558	1282	1299	673	1084
Tbcb	297	229	241	385	249	264	168	314
Polr2i	197	156	163	280	145	177	91	201
Wdr62	533	503	346	477	471	599	303	371
Thap8	2	2	1	1	0	0	0	1
Clip3	33	26	23	40	27	26	15	25
Alkbh6	83	81	86	136	78	99	70	108
AI428936	81	75	62	130	75	82	65	98
Sdhaf1	68	60	62	100	55	43	48	62
E130208F15Rik	5	4	1	4	3	4	1	0
Lrfn3	27	28	24	44	29	32	28	35
Tyrobp	0	0	0	0	0	0	0	0
Hcst	0	0	0	0	0	0	0	0
Nfkbid	15	16	20	31	14	19	15	19
Aplp1	131	121	158	232	73	79	74	154
Kirrel2	16	18	40	73	6	9	20	41
Nphs1	17	35	32	58	5	12	16	33
Nphs1as	1	2	4	10	0	6	2	3
Prodh2	0	0	0	0	0	0	0	0
Gm1082	13	14	4	10	7	7	4	5
Arhgap33	24	13	19	25	19	15	4	11
BC053749	28	26	17	42	24	38	20	25
Hspb6	14	8	25	24	10	11	22	15
Lin37	99	90	58	90	97	91	56	74
Psenen	69	51	51	93	44	54	40	53
U2af1l4	136	132	137	183	120	161	99	115
Gm17104	0	0	0	1	0	0	0	0
Tmem149	5	12	14	6	7	15	5	7
Wbp7	1377	1187	863	1171	1204	1482	674	878
Zbtb32	26	29	42	39	15	16	16	26
Upk1a	26	20	6	25	10	19	13	13
Cox6b1	1138	873	840	1577	820	990	625	1058
Etv2	3	1	2	0	3	5	0	1
Rbm42	591	522	498	797	485	597	402	530
RP23-72M20.2	661	580	566	897	541	666	445	585
Haus5	90	68	85	121	74	87	54	66
4930479M11Rik	0	0	0	0	0	0	0	0
2200002J24Rik	0	0	0	0	0	0	0	0
Gm4883	0	0	0	0	0	0	0	0
Atp4a	0	0	0	1	0	0	0	0
Tmem147	243	212	250	352	205	196	206	259
Gapdhs	0	0	0	0	0	0	0	0
Sbsn	2	3	0	2	3	1	0	0
Dmkn	2	1	1	1	0	0	0	0
Krtdap	2	0	0	0	1	2	0	0
Ffar2	3	1	2	4	3	9	2	6
Ffar3	2	1	0	2	0	0	0	1
Ffar1	0	0	0	0	0	0	0	0
Cd22	0	0	0	0	0	0	0	0
Mag	0	1	6	6	0	0	3	8
Hamp2	0	0	0	0	0	0	0	0
Hamp	0	0	0	0	0	0	0	0
Usf2	247	207	167	308	198	234	155	199
Gm17077	0	0	0	0	2	0	0	0
Lsr	138	99	99	202	96	102	84	121
Fam187b	0	1	0	0	0	0	0	0
Fxyd5	3	1	0	1	4	4	3	6
Fxyd7	0	0	0	0	0	0	0	0
Fxyd1	0	0	0	0	0	0	0	0
Lgi4	0	0	0	0	0	0	0	0
Fxyd3	0	0	0	0	4	0	0	0
Hpn	8	6	4	3	8	12	6	3
Scn1b	22	11	10	16	10	15	11	14
Gramd1a	231	213	232	240	238	309	157	208
Abph	0	0	0	0	0	0	0	0
Abpe	0	0	0	0	0	0	0	0
Gm4362	0	0	0	0	0	0	0	0
AC123821.1	0	0	0	0	0	0	0	0
Gm4684	0	0	0	0	0	0	0	0
Gm6662	0	0	0	0	0	0	0	0
AC130208.1	0	0	0	0	0	0	0	0
Gm5326	0	0	0	0	0	0	0	0
AC127324.2	0	0	0	0	0	0	0	0
AC127324.1	0	0	0	0	0	0	0	0
AC145553.3	0	0	0	0	0	0	0	0
AC145553.1	0	0	0	0	0	0	0	0
AC145553.2	0	0	0	0	0	0	0	0
Abpd	0	0	0	0	0	0	0	0
Gm5895	0	0	0	0	0	0	0	0
AC122796.1	0	0	0	0	0	0	0	0
Gm12763	0	0	0	0	0	0	0	0
Abpz	0	0	0	0	0	0	0	0
Gm12769	0	0	0	0	0	0	0	0
Abpg	0	0	0	0	0	0	0	0
Abpb	0	0	0	0	0	0	0	0
Abpa	0	0	0	0	0	0	0	0
Gm12776	0	0	0	0	0	0	0	0
Wtip	230	213	220	318	225	211	162	214
Uba2	3454	3076	2790	4137	2859	3258	2104	2983
Pdcd2l	243	182	216	315	209	197	154	202
Gpi1	1910	1432	1158	1899	1733	1978	896	1367
Gm12762	0	1	1	0	1	3	0	2
Gm12758	0	0	0	0	0	0	0	0
4931406P16Rik	607	509	334	517	531	597	256	340
Gm6096	0	0	0	0	0	0	0	0
Lsm14a	1172	1013	925	1289	1094	1147	587	912
Gm12764	0	0	0	0	0	1	0	0
Gm12766	0	0	0	0	0	1	0	0
Gm12784	0	0	1	1	0	0	0	0
Kctd15	143	134	157	255	124	136	116	169
Gm12781	0	0	0	0	0	0	0	0
Gm12756	0	0	0	0	0	0	0	0
Chst8	37	24	21	44	21	34	10	27
Pepd	479	400	384	568	424	458	271	385
Cebpg	282	216	240	424	257	235	196	316
Cebpa	0	1	0	2	0	1	0	0
Slc7a10	0	0	0	0	0	0	0	0
Lrp3	16	10	11	16	14	13	10	7
Gpatch1	221	181	120	218	196	195	98	146
Rhpn2	268	241	184	292	240	258	156	247
C230052I12Rik	128	105	101	156	67	100	83	93
Ccdc123	212	169	102	210	142	196	94	158
Slc7a9	5	3	3	3	5	6	1	3
Tdrd12	309	272	420	665	313	348	274	466
Nudt19	244	206	205	328	179	173	130	203
Rgs9bp	24	24	16	37	15	23	20	34
Ankrd27	434	381	312	506	319	326	226	328
Pdcd5	77	62	61	130	66	62	51	84
Dpy19l3	131	143	101	140	155	154	71	91
Zfp507	553	451	377	523	484	501	255	337
E130304I02Rik	0	0	0	0	0	0	0	0
Tshz3	74	58	56	64	50	58	42	37
Zfp536	14	10	8	2	27	22	6	7
4930505M18Rik	0	0	0	0	0	0	0	0
C80913	523	464	494	712	455	449	271	434
Ccne1	593	522	613	1006	435	496	402	559
1600014C10Rik	64	35	35	49	54	50	24	29
Plekhf1	82	70	39	72	86	84	35	58
Pop4	347	285	269	482	290	286	197	338
AC238840.3	0	0	0	0	0	0	0	0
Gm5591	0	0	0	0	0	0	0	0
AC238840.1	0	0	0	0	0	0	0	0
AC147801.2	0	0	0	0	0	0	0	0
Gm16387	0	0	0	0	0	0	0	0
Gm5114	0	0	0	0	0	0	0	0
Gm5590	21	16	13	34	13	18	3	21
Zfp939	8	13	6	14	18	15	7	12
Zfp619	73	69	46	76	94	97	42	68
Gm2058	40	29	12	26	29	38	16	23
Vstm2b	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0
Gm4884	0	0	0	0	0	0	0	0
Gm2128	0	0	0	0	0	0	0	0
Gm5592	0	0	0	0	0	0	0	0
AI987944	39	36	7	44	33	29	17	25
Gm17102	0	0	0	0	0	0	0	0
Gm20449	0	0	3	0	0	1	0	1
Vmn2r57	0	0	0	0	0	0	0	0
AW146154	38	37	20	36	33	31	23	24
Gm6871	240	194	145	229	185	180	88	138
2610021A01Rik	518	472	395	659	502	515	271	406
Zfp788	127	115	104	177	109	118	77	94
Vmn2r-ps54	0	0	0	1	0	0	0	0
Gm10948	0	0	0	0	0	0	0	0
Vmn2r58	0	0	0	0	0	0	0	0
Vmn2r59	0	0	0	0	0	0	0	0
Vmn2r60	0	0	0	0	0	0	0	0
Vmn2r61	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0
Zfp141	373	366	357	472	344	383	236	360
AC102606.1	13	11	7	16	8	11	10	10
Gm7221	188	151	104	177	157	165	105	141
9830147E19Rik	269	262	190	291	244	252	127	209
Gm5595	256	219	151	244	237	255	130	216
Gm17067	550	477	378	552	485	571	253	419
AC102628.2	18	14	13	18	16	21	6	18
Vmn2r62	1	0	0	0	1	0	0	0
Gm2381	485	419	345	474	547	549	300	409
Vmn2r63	0	0	0	0	0	0	0	0
Gm9268	0	0	0	0	0	0	0	0
Gm10351	13	16	13	16	17	14	10	13
Zfp936	320	288	207	304	308	384	211	298
EU599041	77	81	73	123	93	87	52	83
Zfp715	291	247	213	297	242	260	137	228
Siglec5	8	4	4	2	10	5	2	4
Gm10298	0	0	0	0	0	0	0	0
Siglecg	0	2	0	0	0	0	0	1
Lim2	0	0	0	0	4	3	0	1
Nkg7	0	0	0	0	0	0	0	0
Cldnd2	0	0	0	0	0	0	0	0
Etfb	383	310	346	594	279	359	261	452
Vsig10l	18	20	12	17	19	21	13	18
Iglon5	0	0	0	0	0	0	0	0
4931406B18Rik	0	0	0	0	0	0	0	0
Cd33	0	0	0	0	0	0	0	0
Zfp658	19	11	4	8	10	10	4	10
Zfp719	168	158	129	188	181	155	90	141
Zfp819	64	88	82	113	57	100	50	74
Ceacam18	0	0	0	0	0	0	0	0
Siglece	0	0	0	0	0	0	0	0
Ctu1	91	79	82	116	76	83	76	92
Klk14	0	0	0	0	0	0	0	0
Klk13	0	0	1	1	0	0	0	0
Klk12	0	0	0	0	0	0	0	0
Klk11	1	0	1	4	1	0	1	0
Klk10	6	4	7	27	3	5	9	6
Klk9	0	0	0	0	0	0	0	0
Klk8	8	12	13	28	7	10	14	20
Klk7	0	0	0	0	0	0	0	0
Klk6	0	0	0	0	0	0	0	0
Klk5	0	0	0	0	0	0	0	0
Klk4	0	0	0	0	0	0	0	0
Klk15	0	0	0	0	0	0	0	0
Klk1b7-ps	0	0	0	0	0	0	0	0
Klk1b8	0	0	0	0	0	0	0	0
Klk1b1	0	0	0	0	0	0	0	0
Klk1b9	0	0	0	0	0	0	0	0
Klk1b11	0	0	0	0	0	0	0	0
Klk1b26	0	0	0	0	0	0	0	0
Klk1b27	0	0	0	0	0	0	0	0
Klk1b21	0	0	0	0	0	0	0	0
Klk1b22	0	0	0	0	0	0	0	0
Klk1b16	0	0	0	0	0	0	0	0
Klk1b24	0	0	0	0	0	0	0	0
Klk1b3	0	1	0	1	0	0	0	0
Klk1b4	0	0	0	0	0	0	0	0
Klk1b5	0	1	0	1	1	0	0	0
Gm10109	0	0	0	0	0	0	0	0
Klk1	16	11	4	13	8	10	1	3
1700028J19Rik	1	3	3	1	0	6	2	3
2410002F23Rik	531	510	506	689	364	554	375	455
Acpt	0	0	0	0	0	0	0	0
Gm15517	0	0	0	0	0	0	0	0
Clec11a	9	7	7	3	6	11	2	6
Shank1	11	12	15	15	10	15	9	15
1700008O03Rik	4	6	2	4	3	6	3	2
Syt3	15	19	8	13	17	14	11	10
Lrrc4b	0	0	0	0	0	0	0	0
Aspdh	0	0	0	0	0	0	0	0
Josd2	20	25	25	38	24	35	21	29
